,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
Hecyra,0.2621935869877058,0.22048547358689308,0.18836501417979434,0.40349498952600105,0.46767766896875196,0.26268097924921996,0.31314525587567454,0.3611354731452536,0.19522246842563995,0.3004815216948691,0.1920336283104025,0.5934738862094822,0.3354303555037682,0.2225070545959985,0.21602033119961994,0.24672172195896191,0.08274758345316202,0.252302794369201,0.21121705378420685,0.32063719486455966,1.1102230246251565e-16,0.15007432442009772,0.18452619796784642,0.16457374808603997,0.37214354057973775,0.17740713996117286,0.15126183621034905,0.23817315229212332,0.3190021772931977,0.40964152494329165,0.13953958981801595,0.17491774946221328,0.27623834741845166,0.25206928634395676,0.23214606339591326,0.2523965108080678,0.24258466511109789,1.0,0.5921294417763406,0.32271829382902184,0.5840171933386004
Phormio,0.3502285076260876,0.30983536529636513,0.3000857579214896,0.5072266304059437,0.556319999857434,0.35612738751749173,0.4233908532160312,0.4680175994600888,0.29395029584241084,0.39672621475023073,0.31477648735131114,0.6493766858409229,0.4103969655660231,0.327993754900055,0.32072855279028045,0.3523023761258842,0.12085953890729484,0.11769052186581197,0.060382044470182916,0.10362098233408878,0.1500743244200976,2.220446049250313e-16,0.3001376014468581,0.28646093641154113,0.46556541422743525,0.2965716618006864,0.27460454967313697,0.34722842750015936,0.4301045348023711,0.5107175898162323,0.2641456599447074,0.300516792833876,0.39959347094203457,0.37829579686760884,0.3564246868981009,0.3765788689474405,0.3665685214778057,1.0,0.6754282460657769,0.43445395360079153,0.6722272524406929
Amores,0.2377559226825512,0.20665340244466768,0.08674439303309733,0.17001657285731642,0.20300656049736587,0.15306047777513943,0.21991503170073246,0.35862807841261957,0.22568653389350657,0.24808888402807616,0.16970544873406335,0.622091370989369,0.29915816579120613,0.21658997550898218,0.252938586010234,0.26348932512894363,0.21702517715460123,0.3857093103258741,0.3182094167642413,0.4280467146140984,0.18452619796784653,0.3001376014468581,0.0,0.023239940073780274,0.18324551528406308,0.026462321384880916,0.047800787120382604,0.06670572652216922,0.18177657785543333,0.15543408850958385,0.04728123055126732,0.04620025338263867,0.09838229865263937,0.097147361571436,0.08651274015228272,0.09382914546952781,0.09070802258010446,1.0,0.2884150830415436,0.1451708696705113,0.2869275741443652
Epistulae (vel Heroides),0.24944372170211937,0.22376868681110706,0.08845080015196793,0.18160649704520626,0.20208726313897485,0.18932939754393774,0.2565256127140334,0.3741062534019559,0.22331991842738175,0.26907002122152246,0.17574741171247354,0.6188941898835636,0.3134164712834273,0.2345217288872936,0.24822270461115514,0.26688364796112096,0.20948756740115537,0.3816082663111713,0.3185477980430065,0.42131628945724897,0.16457374808603975,0.28646093641154113,0.023239940073780274,0.0,0.21990848090890358,0.03827148170010264,0.06268736715988088,0.06561766834875771,0.14522600867550395,0.14620006534837748,0.028242772542640293,0.028272166184103997,0.09199774615706613,0.08708605304374739,0.07527383629825712,0.08353215318328533,0.08200301485539385,1.0,0.2918074380698784,0.17857500554943417,0.3050966217041098
Medicamina faciei femineae,0.3535580029719776,0.30218022365882224,0.2682737413602978,0.22703228759243888,0.2755483219942275,0.26069863790739745,0.2831142587205715,0.4167370962939765,0.316304391374429,0.28259621243816935,0.26812060142836425,0.6809617696162867,0.41120096415078233,0.3044853687440442,0.3682883166495202,0.36174475925656935,0.39363536273982347,0.537841220238223,0.4767115395283107,0.5792500055777019,0.37214354057973786,0.46556541422743525,0.18324551528406297,0.21990848090890358,0.0,0.15702859643507927,0.20589901699112723,0.18055492275620455,0.31628198411098085,0.22179927081516904,0.23787453458799357,0.22931932583487147,0.25450534397664326,0.26274823443416695,0.26145913556234945,0.2622135769937681,0.25826784584749773,1.0,0.3169395080527475,0.2812532359504305,0.3021663599939348
Ars Amatoria,0.24484729676895556,0.19785937101781226,0.10314182558292206,0.16968577364939752,0.19949147909755893,0.17238239829626645,0.23748557580553764,0.3519425834267186,0.20481800893076407,0.23972619538221618,0.15818475174710533,0.6127685487015485,0.3000813489374139,0.2073612904839739,0.23765176937396215,0.2502695809673393,0.21971624094120767,0.3858363189181364,0.3190949731727092,0.42796176881071046,0.17740713996117308,0.2965716618006865,0.026462321384880916,0.038271481700102306,0.15702859643507938,0.0,0.0454077848387382,0.049019052152242004,0.1707150005445388,0.13974340695696663,0.05351457366413459,0.05530654987127526,0.11285028239142558,0.11020752940564837,0.10079864020315354,0.10674785817340915,0.10332583880231805,1.0,0.2850672911412506,0.17073703554485087,0.28278728505958894
Remedia amoris,0.21325728307621772,0.17558911912854824,0.10914687677655743,0.24524478246240788,0.3042518043632211,0.14445171432455983,0.19567802388972433,0.33004661868902807,0.18631324098837487,0.24027627073612734,0.1734337456572146,0.6019718814169965,0.27310952092308305,0.18723669708024393,0.22645243003109805,0.2381325149810649,0.19475041174350738,0.3636367951650209,0.29824875879292145,0.40395576064951666,0.15126183621034894,0.27460454967313697,0.047800787120382604,0.06268736715988088,0.20589901699112723,0.0454077848387382,0.0,0.11520519328083767,0.23698220719096663,0.26001023795198197,0.07457662260604858,0.09463368021771579,0.13796021850536222,0.12892802882226395,0.1169943389356729,0.12641031399973246,0.12147443289129845,1.0,0.40610970004152536,0.1769789531304662,0.38499839675693415
Fasti,0.2625349016426899,0.2134713120827687,0.13125193871490914,0.1282946296290447,0.15142785554776061,0.1891389061367228,0.2676259876828282,0.35762261941753626,0.20238064350619656,0.225037208559296,0.1590422227319157,0.6151552548101707,0.2987702030995697,0.22018652915995396,0.22730244889568485,0.23428025858458634,0.27583051613183684,0.4424420594826056,0.36882134401363365,0.4730962819703579,0.2381731522921231,0.34722842750015936,0.06670572652216922,0.06561766834875771,0.18055492275620455,0.049019052152242004,0.11520519328083767,0.0,0.15999469248888887,0.08516610171536965,0.08151233214144415,0.07118316789090573,0.139445895885977,0.14451438629813773,0.13845923409622585,0.1407483925347809,0.1384199136735773,1.0,0.20123013145410296,0.1778063126909183,0.21505146326562974
Ibis,0.39048948069168876,0.37739465432068797,0.2403956532364565,0.21561817024032537,0.2463007612275785,0.3344587907702289,0.3939853025392248,0.31407956624282796,0.37944342807381404,0.3125115881653201,0.2339748751755093,0.6665057238845123,0.44083258443122963,0.3794298952693682,0.3336624623640577,0.36547401238186394,0.39534274142411463,0.523520293559218,0.47367012118506224,0.5429258013757436,0.3190021772931977,0.4301045348023711,0.18177657785543333,0.14522600867550395,0.31628198411098085,0.1707150005445388,0.23698220719096663,0.15999469248888887,0.0,0.16951097278073268,0.15539318723639672,0.14190009145436921,0.22306217301988895,0.2198475721930634,0.2206220996932997,0.21991668859093894,0.21603123924990375,1.0,0.2815149445839653,0.29243550808251184,0.3070374353366737
Metamorphoses,0.4100032888705303,0.3648639519582081,0.21881634525733962,0.08137022927183069,0.04859314772196166,0.31385444061099754,0.3727338896515745,0.46232516610042473,0.38104600560273516,0.31954815165124284,0.25070162087951486,0.696613973974858,0.4216234907306602,0.3642595014372054,0.36962988720207823,0.3690334675449284,0.44841654146320187,0.5768299697846537,0.5125653828575925,0.600251607291393,0.40964152494329176,0.5107175898162323,0.15543408850958362,0.14620006534837748,0.22179927081516904,0.13974340695696663,0.2600102379519822,0.08516610171536976,0.1695109727807328,0.0,0.18063704105932676,0.13282805800802766,0.17206767475434415,0.1889939689977348,0.19057796676711358,0.18521427470180785,0.18794829161007587,1.0,0.0723506992735704,0.23059042733996726,0.09497556790312633
Ex Ponto,0.23323266916855856,0.21393951990706572,0.09561025241791032,0.2050111105231649,0.24371466142532017,0.1938547738119515,0.2627916881131579,0.36445137936934313,0.21207682968835606,0.26827742300572477,0.16447755889760696,0.6120369577343748,0.31764411503362566,0.22627274394905728,0.23397717951094477,0.25682177461873457,0.1914290118913219,0.3625937448392318,0.30667480384909773,0.4071722191590236,0.13953958981801595,0.2641456599447074,0.04728123055126732,0.028242772542640404,0.23787453458799357,0.05351457366413459,0.07457662260604847,0.08151233214144438,0.1553931872363965,0.18063704105932676,0.0,0.015961318498284638,0.11428002551401129,0.10574831871516888,0.09224848071594416,0.10121075269826973,0.09810948722645696,1.0,0.3463704499032204,0.19043131333415797,0.3574556288116987
Tristia,0.258706843604108,0.2341037958894755,0.1010924317608225,0.1755463307009808,0.1965903989268447,0.21066128216229585,0.28340347549077005,0.374251562670033,0.23743130548442049,0.28300138907453354,0.1712983782982963,0.6252957683347418,0.3453979933326071,0.24475724439316282,0.26342081305438225,0.28340832456593557,0.22952399112437372,0.39606968288865896,0.3369755065509884,0.43524383514059894,0.17491774946221328,0.3005167928338759,0.04620025338263878,0.02827216618410411,0.22931932583487147,0.05530654987127537,0.0946336802177159,0.07118316789090573,0.14190009145436921,0.13282805800802766,0.015961318498284638,0.0,0.10822018661577404,0.10264400253194572,0.09060724550328825,0.0980668564342464,0.09653687513918241,1.0,0.29262497952721644,0.18811819958677534,0.3097192956966819
