,Elementa philosophiae,Bucolicum carmen,Heautontimorumenos,Phormio,Elegia,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,Rota Veneris,In Vergilii Georgicis comentarii,De excidio Troiae historia,De contemptu mundi,Ars grammatica,Eunuchus,Andria,Commentarius in Vergilii Aeneidos libros,De philosophia,In Vergilii Aeneide comentarii,De nuptiis Philologiae et Mercurii,Adelphi,Alexandreis,Carmina Burana,Hecyra,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,B1,P3,To,W1,P5,Metamorphoses,Tristia,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Ibis,Fasti,Ex Ponto,Aeneid,Eclogues,Georgicon
Hecyra,0.576872910673127,0.6776484051084912,0.5225558095477953,0.45731885891193214,0.6178910889213123,0.6896751454630973,0.689398809359353,0.5382506353513177,0.7252059720090539,0.7606959131004593,0.6428907448541121,0.4651520054603133,0.44207296122480044,0.7276046806529408,0.6579439005321654,0.4993969800169198,0.5209667910948018,0.4781442810737283,0.6624650525976334,0.5719182345109961,0.0,0.5438231984092687,0.5766226824430365,0.5658699885613139,0.5649219614933116,0.5661872091743448,0.5701561670090041,0.6071210857062319,0.48596274838679476,0.53850762545845,0.47400434231122834,0.8918962090823551,0.5551060758015546,0.6182928486979553,0.6875018430108203,0.5454799546533126,0.47313285331371624,0.6937163228607726,0.6807604748245091,0.7607315575812884
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.2752740930055414,0.6345014985973821,0.6313609905329907,0.6065064998373233,0.5755060323127417,0.4935481628492133,0.545522668840659,0.22726269405917376,0.5762735952493048,0.616831710056612,0.43859094164386436,0.6310091812991652,0.6040475443072033,0.5671159701452146,0.4273996772153249,0.2087939438178814,0.2737930387070969,0.5775701697741998,0.5325841621140754,0.42746622441990456,0.5438231984092687,0.0,0.5860262985356111,0.5840750117689851,0.5821642554602873,0.5799871378312889,0.5872852441973715,0.4854910862204911,0.4384425946719752,0.49543031823134553,0.4555321640547526,0.8422629076402721,0.4553493064273242,0.5433763340273495,0.6393245227513213,0.40675774785004293,0.4337748642678966,0.5953352420504382,0.6866047541443684,0.6426265826881562
B1,0.5561414959603851,0.514974666834475,0.6456898983747789,0.6454739401349459,0.5273750547207405,0.6199009915862951,0.6217323650088696,0.5279826504340366,0.7029004732782993,0.732797345468706,0.6272742391355226,0.6446510888632979,0.611254871046951,0.7330465792592481,0.6410026375303486,0.49471468923339734,0.4949408655923795,0.6059985226489566,0.5105580854576537,0.4899454934294598,0.5766226824430365,0.5860262985356111,0.0,0.10907302165222998,0.10629438156956017,0.10397526455294237,0.1352041180020931,0.4037726922794209,0.36417702817061026,0.4139123277051555,0.3513346779572445,0.8529489285000463,0.4442630947136825,0.5408071073844238,0.6032934469761686,0.4181829147499353,0.3767366052098611,0.47376623389707395,0.5944437350573237,0.5569177848985016
P3,0.5562228664187792,0.5235060710417456,0.6365390525790211,0.6357733829635874,0.5254044669184748,0.6273423325838945,0.6255999458711339,0.5287856098166231,0.7079460936904906,0.7330789242153535,0.6288376556431455,0.6369437015990138,0.6015704914467597,0.7306621471402346,0.6418265390265475,0.4930034420829996,0.4946586042669343,0.5970173060530595,0.5190486655817664,0.49274780887554326,0.5658699885613139,0.5840750117689851,0.10907302165222998,0.0,0.09191503168673965,0.08027276181301923,0.11914161947313673,0.41454322058131043,0.3608713021459926,0.4125229393235046,0.34658624093700774,0.8550001951663017,0.44314905713667185,0.537305571078264,0.6021642943247008,0.4219793753657235,0.3711488789274142,0.49099737773945906,0.5963446054018391,0.5747910279489968
To,0.5534499981596763,0.5198809903043419,0.6356703371536769,0.6347300246314758,0.5242997515231178,0.6248069849733324,0.6241154522083787,0.5286584696572949,0.7065438083468543,0.7306210156437111,0.6283735795630341,0.6355162725116645,0.6000080894676847,0.7302680363945826,0.6396048224279347,0.4925143009919072,0.49176882392249865,0.5953822222108273,0.5145216624679256,0.49122299515514467,0.5649219614933116,0.5821642554602873,0.10629438156956017,0.09191503168673965,0.0,0.08723534861232385,0.12301346843448946,0.4093212320274717,0.3571412126771636,0.4101779158887475,0.34366986364653695,0.8546022139318841,0.43980620950525917,0.5358578801348982,0.5998852443992699,0.4179047894240363,0.36764384025796215,0.48662161352440736,0.595189979908971,0.5716425820109969
W1,0.5512912713489514,0.5251979266120113,0.6356168545593512,0.6356492740929933,0.5237467866272862,0.6238209965001216,0.6233806301624918,0.5273657950724941,0.7082562268353441,0.7303326837194879,0.6268491568425071,0.636886711697745,0.6013412893805201,0.7296137537392922,0.638282489139251,0.4912042192331453,0.4926780995296508,0.5965783866813146,0.5202538800677917,0.4921543135681735,0.5661872091743448,0.5799871378312889,0.10397526455294237,0.08027276181301923,0.08723534861232385,0.0,0.11222716846365621,0.41654901873660555,0.35825264582231287,0.41002328911384456,0.34445237430164855,0.8547985335433624,0.4407481781630497,0.5341788935507508,0.6008639035480146,0.42186061324492463,0.3680672855273077,0.4962328564643982,0.5984963065441012,0.5790995089729197
P5,0.5578634414285139,0.5339855489865051,0.6387397759277751,0.6385308889355716,0.5309576520243928,0.626925510393697,0.6265854518766059,0.5348213001617669,0.7094929236747772,0.7334558376188544,0.6297883957269603,0.6394114055941351,0.6045547131607072,0.7336703483448416,0.6433139202924147,0.4994325849280712,0.5012823065487371,0.5998733404075367,0.5270938524684494,0.49531165616503847,0.5701561670090041,0.5872852441973715,0.1352041180020931,0.11914161947313673,0.12301346843448946,0.11222716846365621,0.0,0.42713754115957636,0.36821327037975715,0.4164160086056282,0.3526385401440634,0.8565591791191867,0.44942555887252444,0.5401780404517507,0.6075172977620098,0.4305399356110664,0.3774934933692763,0.5040112751142278,0.6003101950706087,0.5849486843497536
Metamorphoses,0.44355560062449106,0.30930029460532393,0.6795145680536119,0.6718804373956782,0.49231639970057517,0.5928354715248517,0.5911174714851198,0.40697884630496284,0.6105913843047047,0.6974536137507088,0.5400677487237803,0.6737868032940013,0.6566364508743194,0.6796430235000419,0.5505062336509197,0.37769610913129736,0.3285787939757705,0.6349925734815713,0.2917353252177821,0.44268259900591944,0.6071210857062319,0.4854910862204911,0.4037726922794209,0.41454322058131043,0.4093212320274717,0.41654901873660555,0.42713754115957636,0.0,0.24121022671662018,0.33318047509540494,0.27209706724999283,0.7908878923807582,0.30994810754071933,0.49264913396660837,0.4519424791332829,0.19741355303413133,0.29687833241368833,0.1545209819505926,0.5627849363717604,0.28241578425566893
Tristia,0.4077406340117362,0.4300561780062365,0.5747687765193072,0.5627917274026035,0.4427470822848497,0.579149322753624,0.5623879260278735,0.39536243786751146,0.6317874334197349,0.6625087125690261,0.5219761022194452,0.5755884448404411,0.5405516254617125,0.6503454152974644,0.5280671630296663,0.3501082359031097,0.32773179285817533,0.5228757365529033,0.39734219229513357,0.40351241854465913,0.48596274838679476,0.4384425946719752,0.36417702817061026,0.3608713021459926,0.3571412126771636,0.35825264582231287,0.36821327037975715,0.24121022671662018,0.0,0.279970576411966,0.2011249207121959,0.8118291468572683,0.29370351601811107,0.42859590750020937,0.4648051847387321,0.24526420355392187,0.19121147217456103,0.37901600883753894,0.5410746094484665,0.4881952867194129
Amores,0.45098019796703004,0.48774834053318616,0.6049734173542252,0.6039373079864427,0.48309598282234256,0.5933372859231285,0.5783015660099862,0.44774095950385795,0.6574609586147184,0.6901220101570017,0.5609641275681321,0.6042687787740892,0.5765527863701394,0.6853149845749106,0.5625571584896337,0.41352527522831817,0.4022064666437518,0.5605436850068889,0.4582618990448958,0.42651255989521697,0.53850762545845,0.49543031823134553,0.4139123277051555,0.4125229393235046,0.4101779158887475,0.41002328911384456,0.4164160086056282,0.33318047509540494,0.279970576411966,0.0,0.2553853073919039,0.8185309143777982,0.32549468473565446,0.44603148518046054,0.5356873299863888,0.31499902118258916,0.29119773399837034,0.4417768252259008,0.5579813919924244,0.522287196756021
Epistulae (vel Heroides),0.42614689174115306,0.44227638899119737,0.5540052423529345,0.550212055807977,0.4357636803697905,0.5686147884949037,0.5610238370975063,0.40920422327919526,0.6396148932558048,0.6705633296440046,0.5391495971446291,0.5552268068249423,0.5212239310046995,0.6595116437054821,0.5430701661171502,0.36480281925875346,0.3597579270637131,0.505712563203224,0.42100424447398577,0.39856662254930386,0.47400434231122834,0.4555321640547526,0.3513346779572445,0.34658624093700774,0.34366986364653695,0.34445237430164855,0.3526385401440634,0.27209706724999283,0.2011249207121959,0.2553853073919039,0.0,0.8141977670020419,0.2872293182918514,0.4131458030347388,0.4726320834020268,0.2618729788331787,0.210004451593225,0.3949543356184496,0.5254913637882942,0.5019922093736054
Medicamina faciei femineae,0.8295940541402709,0.8456521090380938,0.9130145096442729,0.9086596683679644,0.8618640499987104,0.8834652034873274,0.870692600628369,0.8284715171069322,0.884530576032175,0.9042218475677224,0.8630561512367313,0.9101401821487628,0.9058638576785335,0.906178521876268,0.8632601032403435,0.8246174779705191,0.8073906813181784,0.8970829477112554,0.8232513117384468,0.8341732013573215,0.8918962090823551,0.8422629076402721,0.8529489285000463,0.8550001951663017,0.8546022139318841,0.8547985335433624,0.8565591791191867,0.7908878923807582,0.8118291468572683,0.8185309143777982,0.8141977670020419,0.0,0.8036931265406722,0.8497781269470454,0.8664253575346679,0.7961966980077697,0.8158305091292738,0.8198633662939634,0.885353514190527,0.8375402352789165
Ars Amatoria,0.41556224839688116,0.4824232213197259,0.6256259386335563,0.6195633242393379,0.4936019568853961,0.5790735859865277,0.5820157656640879,0.4093170207458654,0.6354191660507809,0.6780784333144874,0.5361608325482201,0.6245744013091794,0.5983988170210243,0.6619400719721389,0.5336060729392871,0.3734112421514568,0.3596503464161811,0.5746354374752022,0.4409522209529949,0.43048936516381464,0.5551060758015546,0.4553493064273242,0.4442630947136825,0.44314905713667185,0.43980620950525917,0.4407481781630497,0.44942555887252444,0.30994810754071933,0.29370351601811107,0.32549468473565446,0.2872293182918514,0.8036931265406722,0.0,0.4351186508732734,0.5225942398332011,0.28633142121964505,0.3026534977828943,0.42822815470501563,0.5846862724399464,0.5059148937816149
